"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"IT000016239","1951-01-01","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    4",",,E",,,"  120",",,E","   32",",,E",,
"IT000016239","1951-01-02","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","   84",",,E",,,"  140",",,E","   76",",,E",,
"IT000016239","1951-01-03","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","   92",",,E",,,"  138",",,E","   94",",,E",,
"IT000016239","1951-01-04","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","   84",",,E",,,"  148",",,E","   82",",,E",,
"IT000016239","1951-01-05","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    0",",,E",,,"  122",",,E","   42",",,E",,
"IT000016239","1951-01-06","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    0",",,E",,,"  132",",,E","   35",",,E",,
"IT000016239","1951-01-07","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    0",",,E",,,"  142",",,E","   40",",,E",,
"IT000016239","1951-01-08","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    1",",,E",,,"  144",",,E","   84",",,E",,
"IT000016239","1951-01-09","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    1",",,E",,,"  152",",,E","   86",",,E",,
"IT000016239","1951-01-10","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    0",",,E",,,"  158",",,E","   60",",,E",,
"IT000016239","1951-01-11","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    0",",,E",,,"  160",",,E","   32",",,E",,
"IT000016239","1951-01-12","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","  400",",,E",,,"  146",",,E","   84",",,E",,
"IT000016239","1951-01-13","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","   82",",,E",,,"  116",",,E","   76",",,E",,
"IT000016239","1951-01-14","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    0",",,E",,,"  116",",,E","   38",",,E",,
"IT000016239","1951-01-15","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    0",",,E",,,"  153",",,E","   28",",,E",,
"IT000016239","1951-01-16","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","   36",",,E",,,"  142",",,E","   32",",,E",,
"IT000016239","1951-01-17","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    0",",,E",,,"  114",",,E","   30",",,E",,
"IT000016239","1951-01-18","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    1",",,E",,,"  125",",,E","   16",",,E",,
"IT000016239","1951-01-19","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","   16",",,E",,,"  127",",,E","   55",",,E",,
"IT000016239","1951-01-20","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    0",",,E",,,"  162",",,E","   25",",,E",,
"IT000016239","1951-01-21","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    0",",,E",,,"  162",",,E","   38",",,E",,
"IT000016239","1951-01-22","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    0",",,E",,,"  160",",,E","   46",",,E",,
"IT000016239","1951-01-23","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    1",",,E",,,"  158",",,E","   88",",,E",,
"IT000016239","1951-01-24","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    1",",,E",,,"  152",",,E","  116",",,E",,
"IT000016239","1951-01-25","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    2",",,E",,,"  160",",,E","  124",",,E",,
"IT000016239","1951-01-26","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    3",",,E",,,"  115",",,E","   54",",,E",,
"IT000016239","1951-01-27","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    8",",,E",,,"  132",",,E","   46",",,E",,
"IT000016239","1951-01-28","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","   50",",,E",,,"  122",",,E","   74",",,E",,
"IT000016239","1951-01-29","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    4",",,E",,,"   90",",,E","   66",",,E",,
"IT000016239","1951-01-30","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    1",",,E",,,"  100",",,E","   46",",,E",,
"IT000016239","1951-01-31","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    0",",,E",,,"  122",",,E","   48",",,E",,
"IT000016239","1951-02-01","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    1",",,E",,,"  118",",,E","   38",",,E",,
"IT000016239","1951-02-02","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    0",",,E",,,"  144",",,E","   36",",,E",,
"IT000016239","1951-02-03","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","   22",",,E",,,"  108",",,E","   25",",,E",,
"IT000016239","1951-02-04","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","   20",",,E",,,"  122",",,E","   48",",,E",,
"IT000016239","1951-02-05","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","   10",",,E",,,"  148",",,E","   90",",,E",,
"IT000016239","1951-02-06","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    1",",,E",,,"  157",",,E","  112",",,E",,
"IT000016239","1951-02-07","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    1",",,E",,,"  147",",,E","   70",",,E",,
"IT000016239","1951-02-08","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","   24",",,E",,,"  164",",,E","   67",",,E",,
"IT000016239","1951-02-09","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    0",",,E",,,"  176",",,E","   65",",,E",,
"IT000016239","1951-02-10","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    2",",,E",,,"  146",",,E","   73",",,E",,
"IT000016239","1951-02-11","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    0",",,E",,,"  173",",,E","  102",",,E",,
"IT000016239","1951-02-12","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    0",",,E",,,"  187",",,E","  124",",,E",,
"IT000016239","1951-02-13","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    6",",,E",,,"  154",",,E","   94",",,E",,
"IT000016239","1951-02-14","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","   32",",,E",,,"  143",",,E","   83",",,E",,
"IT000016239","1951-02-15","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    4",",,E",,,"  126",",,E","   80",",,E",,
"IT000016239","1951-02-16","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","   10",",,E",,,"  128",",,E","   54",",,E",,
"IT000016239","1951-02-17","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    0",",,E",,,"  137",",,E","   35",",,E",,
"IT000016239","1951-02-18","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    0",",,E",,,"  152",",,E","   46",",,E",,
"IT000016239","1951-02-19","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    1",",,E",,,"  154",",,E","  107",",,E",,
"IT000016239","1951-02-20","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    2",",,E",,,"  162",",,E","   56",",,E",,
"IT000016239","1951-02-21","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    2",",,E",,,"  137",",,E","   92",",,E",,
"IT000016239","1951-02-22","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    6",",,E",,,"  126",",,E","   52",",,E",,
"IT000016239","1951-02-23","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","   44",",,E",,,"  148",",,E","   54",",,E",,
"IT000016239","1951-02-24","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    4",",,E",,,"  135",",,E","   56",",,E",,
"IT000016239","1951-02-25","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    8",",,E",,,"  156",",,E","  108",",,E",,
"IT000016239","1951-02-26","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","   10",",,E",,,"  128",",,E","   70",",,E",,
"IT000016239","1951-02-27","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","   44",",,E",,,"  106",",,E","   20",",,E",,
"IT000016239","1951-02-28","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","   20",",,E",,,"  106",",,E","   28",",,E",,
"IT000016239","1951-03-01","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    2",",,E",,,"  132",",,E","   30",",,E",,
"IT000016239","1951-03-02","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    0",",,E",,,"  105",",,E","   20",",,E",,
"IT000016239","1951-03-03","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    0",",,E",,,"   86",",,E","  -14",",,E",,
"IT000016239","1951-03-04","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    0",",,E",,,"  136",",,E","  -20",",,E",,
"IT000016239","1951-03-05","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    1",",,E",,,"  152",",,E","   27",",,E",,
"IT000016239","1951-03-06","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","   10",",,E",,,"  180",",,E","  100",",,E",,
"IT000016239","1951-03-07","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    1",",,E",,,"  190",",,E","   90",",,E",,
"IT000016239","1951-03-08","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","  128",",,E",,,"  140",",,E","   70",",,E",,
"IT000016239","1951-03-09","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","   36",",,E",,,"  140",",,E","   52",",,E",,
"IT000016239","1951-03-10","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","  118",",,E",,,"  115",",,E","   36",",,E",,
"IT000016239","1951-03-11","41.7831","12.5831","105.0","ROMA CIAMPINO, IT","    2",",,E",,,"  124",",,E","    5",",,E",,
